Key,Description,Standard,Chinese,Japanese,TraditionalChinese,French,Korean,Basque,Italian,Spanish,Deutsch,Russian,Turkish,Brazilian,Polish
SAY.LastTempleThroneRoom.TheifFlowChart.12.Blue Thief,,I'm forever grateful for what you have done for me.,我永远感激你为我所做的一切,お前がしてくれたことには一生感謝するよ。,我永遠感激你為我所做的一切,Je te serai toujours reconnaissant pour toute l'aide que tu m'as apporté.,네가 나에게 해준 모든 일을 영원히 감사할 거야.,Betirako ezkertuko dizut nigatik egin duzuna.,Non dimenticherò mai quello che hai fatto per me!,Te estaré eternamente agradecido.,Ich werde dir für deine Taten auf ewig dankbar sein.,"Я бесконечно благодарен за то, что ты для меня сделал.",Yaptıkların için sana sonsuza dek minnettar olacağım.,Serei eternamente grato pelo que você fez por mim.,Jestem dozgonnie wdzięczny za twe czyny wobec mnie.
SAY.LastTempleThroneRoom.TheifFlowChart.104.Blue Thief,,You should go get your arm!,你应该去拿回你的手!,腕を取り返しに行くんだ！,你應該去拿回你的手!,"Tu devrais aller chercher ton bras, maintenant !",가서 네 팔을 가져와!,Zure besoa hartzera joan beharko zenuke!,Dovresti andare a riprenderti il braccio!,¡Deberías ir a por tu brazo!,Du solltest deinen Arm holen gehen!,Ты должен вернуть свою руку!,Gidip kolunu geri almalısın!,Você deveria ir pegar seu braço!,Powinieneś pójść po swoją rękę!
SAY.LastTempleThroneRoom.TheifFlowChart.112.Blue Thief,,That's what this has been all about.,这是理所应当的事情,ずっとそれが目的だったわけだしな。,這是理所應當的事情,"C'est pour ça qu'on a fait tout ce chemin, pas vrai ?",처음부터 그걸 위해 여기까지 왔으니까.,Hori zen helburua azken finean.,È per questo che siamo qui.,"Es a por lo que habíamos venido, ¿no?",Dafür haben wir das alles ja gemacht.,Вот ради чего всё это было.,Demek bunca zaman mesele buydu,É disso que tudo se trata.,Dokładnie o to w tym wszystkim chodziło.
SAY.LastTempleThroneRoom.TheifFlowChart.109.Blue Thief,,I think I will stay here for a while.,我想自己在这里待一会儿,俺はしばらくここにいる。,我想自己在這裏待一會兒,Je pense que je vais rester un peu ici.,난 당분간 여기에 있을게.,Hemendik geratuko naizela uste dut.,Penso che resterò qui per un po'.,Yo creo que me quedaré por aquí.,"Ich glaube, ich bleibe für eine Weile hier.","Думаю, я тут ещё немного постою.",Sanırım bir süre burada kalacağım.,Eu acho que vou ficar aqui por um tempo.,"Myślę, że zostanę tutaj na jakiś czas."
SAY.LastTempleThroneRoom.TheifFlowChart.111.Blue Thief,,I've missed standing on the ground!,我差点错过了重新站在地上的机会,地面に足をつけるのが恋しかったよ！,我差點錯過了重新站在地上的機會,Ça m'avait manqué de me tenir debout !,두 발로 서는 것이 참 그리웠어!,Lurrean egotea zer zen ahaztuta neukan!,Mi mancava stare in piedi! ,¡Había echado de menos sentarme en el suelo!,"Ich habe es vermisst, auf dem Boden zu stehen!",Как же я скучал по этому ощущению!,Ayaklarımın yere basmasını özlemişim!,Estava com saudades de ficar em pé no chão!,Tęskniłem za staniem na ziemi!
SAY.LastTempleThroneRoom.GreenMageMushroomForest FlowChart.169.Green Mage,,I have recently experienced living without something essential in life.,没有腿的日子给我的生活带来了非常大的麻烦,私は最近、人生に不可欠な物をなくして生きる経験をした。,沒有腿的日子給我的生活帶來了非常大的麻煩,J'ai récemment appris comment ça faisait de vivre sans un bien essentiel.,난 최근에 삶에 아주 중요한 것 없이 살아본 적이 있지.,Bizitzarako ezinbestekoa den zerbait gabe egon naiz duela gutxi.,So come ci si sente a vivere senza qualcosa di essenziale.,Ya he experimentado cómo es vivir sin algo esencial.,"Ich habe kürzlich erst erlebt, wie es ist, ohne etwas Wichtiges zu leben.","Я недавно узнал, каково это, жить без чего-то жизненно важного.",Hayatî bir eksiklik ile yaşamayı yakın zamanda tecrübe ettim.,Recentemente eu tive a experiência de viver sem algo essencial na vida.,Ostatnio doświadczyłem braku czegoś niezbędnego w życiu.
SAY.LastTempleThroneRoom.GreenMageMushroomForest FlowChart.214.Green Mage,,I would hate for you to be in a similar situation.,我不希望你一直这样下去,君が同じような経験をするのは心苦しい。,我不希望你一直這樣下去,Que tu sois dans une situation similaire me faisait horreur.,너는 비슷한 상황에 처하지 않았으면 좋겠어.,Zuri inoiz ez gertatzea opa dizut.,Mi dispiacerebbe vederti in una situazione simile.,No quiero que te pase lo mismo.,"Ich würde es hassen, wenn du in einer ähnlichen Situation wärst.","Не хочу, чтобы и ты был в такой же ситуации.",Benzer bir duruma düşmeni hiç istemezdim.,Eu odiaria que você passasse por algo parecido.,Nie chciałbym znaleźć się w podobnej sytuacji.
SAY.LastTempleThroneRoom.GreenMageMushroomForest FlowChart.168.Green Mage,,So you better go get your arm back before Gold Pig tries something!,"因此,你最好在金猪再搞其他幺蛾子之前先拿回自己的手",黄金のブタが何かしでかす前に、腕を取り戻すんだ！,"因此,你最好在金豬再搞其他么蛾子之前先拿回自己的手",Alors file prendre ton bras avant que Goret d'Or ne tente quelque chose !,그러니 골드 피그가 뭘 하려고 하기 전에 빨리 팔을 가져오는 게 좋을 거야!,Hobe duzu zure besoaren bila joatea Urretxerrik iritziz aldatu baino lehen!,Quindi datti una mossa e va a riprenderti il braccio prima che Porco d'Oro si inventi qualcosa!,¡Más te vale ir a por tu brazo antes de que el cerdo Dorado haga de las suyas!,"Also hol dir deinen Arm, bevor Goldschwein etwas ausheckt!","Так что скорее забирай свою руку, пока Золотой свин не натворил чего-нибудь!",Bu yüzden Altın Domuzu yine bir şeylere kalkışmadan git ve kolunu geri al!,É melhor você ir pegar seu braço antes que o Porco d'Ouro tente algo!,"Lepiej pójdź odzyskać swoje ramię, zanim Złoty Wieprz spróbuje coś zrobić!"
SAY.LastTempleThroneRoom.PurpleMage FlowChart.132.Purple Mage,,You have fought and proven yourself.,你用战斗证明了自己,戦うことで、自分の価値を証明したな。,你用戰鬥證明了自己,Tu as combattu et prouvé ta valeur.,당신은 싸워서 스스로를 증명했어요.,Adorez borrokatu zara.,Hai combattuto e dimostrato quanto vali.,Has luchado y probado tu valía.,Du hast gekämpft und dich bewiesen.,Ты сражался и проявил себя.,Savaştın ve kendini kanıtladın.,Você lutou e se provou digno.,Walczyłeś i udowodniłeś swą wartość.
SAY.LastTempleThroneRoom.PurpleMage FlowChart.133.Purple Mage,,You deserve your reward.,你的付出值得拥有回报,褒美を与えよう。,你的付出值得擁有回報,Tu as mérité cette récompense.,마땅한 보상을 받아야 할 것 같군요.,Zure saria merezi duzu.,Ti meriti la tua ricompensa.,Te mereces una recompensa.,Du verdienst deine Belohnung.,Ты заслужил свою награду.,Ödülünü hak ettin.,Você merece uma recompensa.,Zasłużyłeś na nagrodę.
SAY.LastTempleThroneRoom.PurpleMage FlowChart.134.Purple Mage,,That is the only thing I will say.,我唯一想说的是,それ以上言うことはない。,我唯一想說的是,Je ne saurais quoi dire de plus.,그 말 말고는 할 수 있는 게 없네요.,Ez dut gehiagorik esango.,Non ho altro da dire.,Solo diré eso.,"Das ist alles, was ich sagen werde.","Это всё, что я скажу.",Söyleyeceğim tek şey bu.,Essa é única coisa que direi.,Powiem tylko tyle.
SAY.CrystalRoom.CrystalMirrorFaux2 FlowChart.96.Empty,,...,...,…,...,...,...,...,...,...,...,...,...,...,...
SAY.CrystalRoom.CrystalMirrorFaux1 FlowChart.96.Empty,,...,...,…,...,...,...,...,...,...,...,...,...,...,...
SAY.Maze.NoseferatchuFlowChart.351.Noseferatchu,,"... If you find pink spirits,",...如果你发现粉红色的灵魂.,ピンクの霊を見つけたなら。,...如果你發現粉紅色的靈魂.,... Si tu rencontres des esprits roses.,"... 만약 분홍 영혼을 찾게 된다면,","... Arima arrosak ikusten badituzu,","...Se incontri degli spiriti rosa,","... Si te encuentras con un espíritu rosa,","... Falls du Pinke Geister findest,","... Если встретишь розовых духов,",... Olur da pembe ruhlara rast gelirsen.,"... Se achar espíritos rosa,","... Jeżeli znajdziesz różowe duchy,"
SAY.Maze.NoseferatchuFlowChart.356.Noseferatchu,,... an old saying says not to trust them.,"...有句老话说的好,就是不要相信他们.",信用するな、というのが昔からの言い伝えだ。,"...有句老話說的好,就是不要相信他們.",... Il était dit autrefois qu'il ne faut pas leur faire confiance.,... 그것을 믿지 말라는 속담이 있지.,... esana zaharrek diote haietaz ez fidatzea.,...un vecchio proverbio dice di non fidarsi di loro.,… una antigua leyenda dice que no confíes en él.,"... sagt ein altes Sprichwort, dass man ihnen nicht vertrauen soll.","... согласно старым поверьям, им нельзя доверять.",... Eskidendir onlara güvenme derler.,... um velho ditado diz para não confiar neles.,"... pradawne powiedzenie mówi, żeby im nie ufać."
